Wavelength (nm),E_res (eV),Width (nm),Length (nm),AspectRatio,Linewidth (eV),Linewidth (nm),MaxCscat
620,1.999741935,33,76,2.303030303,0.13544891,42,3.30E-15
567,2.186666667,34.03,54.18,1.592124596,0.204371039,53,2.96E-16
606,2.045940594,34.3,73,2.128279883,0.155282382,46,2.26E-15
564,2.198297872,34.43,53.78,1.562009875,0.2338313,60,2.54E-16
602,2.059534884,34.5,71.5,2.072463768,0.140249227,41,2.08E-15
586,2.115767918,34,64,1.882352941,0.144402383,40,1.04E-15
560,2.214,35.43,52.78,1.489697996,0.249042861,63,2.28E-16
657,1.887123288,35,92,2.628571429,0.106262636,37,1.07E-14
660,1.878545455,35,93,2.657142857,0.113836549,40,1.10E-14
637,1.946373626,37.5,88.5,2.36,0.134426043,44,7.42E-15
612,2.025882353,37,80,2.162162162,0.139013202,42,4.13E-15
618,2.006213592,37,83,2.243243243,0.165539953,51,4.56E-15
626,1.98057508,37,86,2.324324324,0.148682137,47,6.20E-15
592,2.094324324,38.5,74.5,1.935064935,0.141490141,40,2.55E-15
605,2.049322314,38.5,80,2.077922078,0.149022392,44,3.92E-15
635,1.952503937,38.5,90.8,2.358441558,0.135274154,44,8.62E-15
600,2.0664,38,75.8,1.994736842,0.154960003,45,2.70E-15
645,1.922232558,38,92,2.421052632,0.128132302,43,9.53E-15
635,1.952503937,39.7,91.5,2.304785894,0.150646217,49,8.23E-15
658,1.884255319,39,100,2.564102564,0.120256097,42,1.49E-14
584,2.123013699,39,71,1.820512821,0.192645903,53,1.54E-15
592,2.094324324,39,74.1,1.9,0.173325423,49,2.16E-15
594,2.087272727,39,75.2,1.928205128,0.16864674,48,2.47E-15
604,2.052715232,39,79.8,2.046153846,0.152914348,45,3.76E-15
627,1.977416268,39,88,2.256410256,0.154514984,49,6.56E-15
643,1.928211509,39,94,2.41025641,0.131929019,44,1.05E-14
648,1.913333333,39,96,2.461538462,0.12104405,41,1.20E-14
581,2.133975904,40.2,71,1.766169154,0.172605725,47,1.65E-15
619,2.002972536,40.2,88.1,2.191542289,0.155299315,48,6.69E-15
593,2.09079258,40.4,77.3,1.913366337,0.165690677,47,2.93E-15
591,2.09786802,40,76,1.9,0.170363235,48,2.65E-15
610,2.03252459,40,83.5,2.0875,0.159915724,48,4.79E-15
629,1.971128776,40,90.5,2.2625,0.169200667,54,7.11E-15
626,1.98057508,40,90,2.25,0.151845586,48,7.75E-15
615,2.016,41.2,88.6,2.150485437,0.160603665,49,6.83E-15
607,2.042570016,41,84,2.048780488,0.154771165,46,5.11E-15
627,1.977416268,41,91,2.219512195,0.170281819,54,7.25E-15
617,2.009465154,42.7,92,2.154566745,0.162820573,50,8.15E-15
593,2.09079258,42,79,1.880952381,0.162165344,46,3.41E-15
594,2.087272727,42,80,1.904761905,0.16864674,48,3.64E-15
605,2.049322314,42,85.6,2.038095238,0.182891117,54,5.14E-15
611,2.029198036,42,87.6,2.085714286,0.179316784,54,5.78E-15
613,2.022577488,42,88,2.095238095,0.168251455,51,6.26E-15
616,2.012727273,42,89,2.119047619,0.16334964,50,6.91E-15
621,1.996521739,42,91,2.166666667,0.163944397,51,7.86E-15
626,1.98057508,42,92,2.19047619,0.155009036,49,8.64E-15
630,1.968,42,94,2.238095238,0.146800103,47,9.96E-15
640,1.93725,42,98,2.333333333,0.139221877,46,1.25E-14
605,2.049322314,43.5,87,2,0.162569882,48,5.85E-15
601,2.06296173,43.7,85.3,1.95194508,0.164741075,48,5.27E-15
584,2.123013699,43,77,1.790697674,0.185376246,51,2.52E-15
599,2.06984975,43,84.5,1.965116279,0.169298082,49,4.79E-15
609,2.035862069,43,89,2.069767442,0.163783858,49,6.69E-15
612,2.025882353,43,90,2.093023256,0.155562393,47,7.37E-15
614,2.019283388,43,91,2.11627907,0.16441554,50,7.52E-15
617,2.009465154,43,92,2.139534884,0.15630775,48,8.35E-15
619,2.002972536,43,93,2.162790698,0.168240925,52,8.40E-15
627,1.977416268,43,94.7,2.202325581,0.160821718,51,9.54E-15
622,1.993311897,43,94,2.186046512,0.1602134,50,9.41E-15
637,1.946373626,43,99,2.302325581,0.155812004,51,1.23E-14
597,2.07678392,44.5,85.9,1.930337079,0.163477805,47,5.31E-15
594,2.087272727,44.8,84.5,1.886160714,0.16864674,48,4.83E-15
584,2.123013699,44,78.9,1.793181818,0.17810659,49,3.01E-15
602,2.059534884,44,86.4,1.963636364,0.157352791,46,5.77E-15
606,2.045940594,44,88,2,0.151906678,45,6.62E-15
614,2.019283388,44,91,2.068181818,0.184145405,56,6.87E-15
622,1.993311897,44,96,2.181818182,0.157009132,49,1.08E-14
626,1.98057508,44,98,2.227272727,0.161335935,51,1.17E-14
601,2.06296173,45.4,87.4,1.925110132,0.161308969,47,6.01E-15
624,1.986923077,45.5,98,2.153846154,0.159188037,50,1.18E-14
601,2.06296173,45.6,88,1.929824561,0.161308969,47,6.26E-15
636,1.949433962,45,101,2.244444444,0.171626125,56,1.22E-14
589,2.104991511,45,82,1.822222222,0.175095543,49,3.88E-15
593,2.09079258,45,84.4,1.875555556,0.162165344,46,4.81E-15
596,2.080268456,45,85,1.888888889,0.164026848,47,4.84E-15
607,2.042570016,45,91,2.022222222,0.164864937,49,7.37E-15
608,2.039210526,45,92,2.044444444,0.171030128,51,7.86E-15
610,2.03252459,45,93,2.066666667,0.173242035,52,8.19E-15
613,2.022577488,45,94,2.088888889,0.174849551,53,8.71E-15
619,2.002972536,45,97,2.155555556,0.184417937,57,9.72E-15
581,2.133975904,46.5,80.1,1.722580645,0.194640498,53,3.15E-15
583,2.126655232,46.5,81,1.741935484,0.186012731,51,3.43E-15
620,1.999741935,46.5,97.6,2.098924731,0.180598546,56,1.02E-14
583,2.126655232,46.7,81.4,1.743040685,0.189660039,52,3.43E-15
657,1.887123288,46,111,2.413043478,0.146470121,51,2.13E-14
585,2.119384615,46,80,1.739130435,0.19561026,54,3.02E-15
598,2.073311037,46,87.4,1.9,0.166398141,48,5.87E-15
603,2.056119403,46,90,1.956521739,0.18069696,53,6.58E-15
607,2.042570016,46,92,2,0.18505248,55,7.38E-15
625,1.983744,46,98,2.130434783,0.177720528,56,1.05E-14
574,2.16,47.6,78,1.638655462,0.214467097,57,2.49E-15
611,2.029198036,47.7,95.7,2.006289308,0.182637465,55,9.08E-15
579,2.14134715,47,79,1.680851064,0.203383241,55,2.72E-15
580,2.137655172,47,80.1,1.704255319,0.191627114,52,3.10E-15
591,2.09786802,47,86,1.829787234,0.173912469,49,5.08E-15
595,2.083764706,47,87.4,1.859574468,0.175083683,50,5.55E-15
609,2.035862069,47,94.6,2.012765957,0.167126386,50,9.23E-15
609,2.035862069,47,95,2.021276596,0.19052408,57,8.66E-15
611,2.029198036,47,96,2.042553191,0.175996103,53,9.62E-15
578,2.145051903,48.1,80.6,1.675675676,0.204087598,55,3.18E-15
570,2.175157895,48.3,76,1.573498965,0.217487723,57,2.14E-15
